ImgName,GC_Pred
0200.png,0.00031379773281514645
0137.png,0.9997203946113586
0112.png,0.9999140501022339
0162.png,0.0005455997306853533
0190.png,0.9998881816864014
0175.png,0.9980913996696472
0145.png,0.000607040012255311
0165.png,0.9998657703399658
0118.png,0.011921434663236141
0143.png,0.0004275380924809724
0117.png,0.00041379922186024487
0133.png,0.00371376471593976
0119.png,0.006472778506577015
0107.png,0.005652404855936766
0144.png,0.002005353569984436
0158.png,0.0006374004879035056
0193.png,0.9999808073043823
0196.png,0.9997521042823792
0164.png,0.9999197721481323
0136.png,0.9998569488525391
0169.png,0.00027230745763517916
0189.png,0.9998667240142822
0154.png,0.9998575448989868
0163.png,0.9999709129333496
0177.png,0.9998898506164551
0188.png,0.0002890318864956498
0122.png,0.9999587535858154
0124.png,0.0016287866747006774
0199.png,0.9999690055847168
0126.png,0.9998703002929688
0142.png,0.0015711025334894657
0151.png,0.00016901433991733938
0111.png,0.9998942613601685
0182.png,0.9999657869338989
0198.png,0.9999638795852661
0152.png,0.0032753150444477797
0155.png,0.9997465014457703
0116.png,0.0004777939757332206
0106.png,0.9996552467346191
0146.png,0.9998236298561096
0150.png,0.0024637579917907715
0110.png,0.9999068975448608
0123.png,0.00020079153182450682
0171.png,0.9999465942382812
0184.png,0.9999481439590454
0148.png,0.9999655485153198
0191.png,0.999916672706604
0170.png,0.003219365840777755
0113.png,0.0024186912924051285
0134.png,5.722731293644756e-05
0130.png,0.0010270557831972837
0141.png,0.0014288737438619137
0131.png,0.0003239691141061485
0197.png,0.9998348951339722
0194.png,0.0014315232401713729
0168.png,0.00037243225960992277
0180.png,0.9999631643295288
0104.png,0.9998805522918701
0147.png,0.9995137453079224
0172.png,0.9997027516365051
0192.png,0.9998358488082886
0138.png,0.0028911891859024763
0185.png,0.9999674558639526
0179.png,0.00902552343904972
0181.png,0.9999071359634399
0160.png,0.00015975510177668184
0183.png,0.9977249503135681
0108.png,0.005288480315357447
0103.png,0.9999297857284546
0186.png,0.004193523433059454
0161.png,0.0003200305800419301
0109.png,0.9999672174453735
0156.png,0.0010045202216133475
0128.png,0.0006848311750218272
0105.png,0.9998928308486938
0166.png,0.9998825788497925
0135.png,7.45380311855115e-05
0114.png,0.0031041339971125126
0102.png,0.9997324347496033
0174.png,0.9994584918022156
0121.png,0.9998595714569092
0127.png,0.9999018907546997
0129.png,9.067718201549724e-05
0132.png,0.00028389637009240687
0176.png,0.9999709129333496
0140.png,0.9998693466186523
0153.png,0.999870777130127
0159.png,0.0002740493800956756
0157.png,0.9998493194580078
0173.png,0.9999258518218994
0139.png,0.03521792218089104
0120.png,0.00020073220366612077
0101.png,0.9998747110366821
0115.png,0.000605241337325424
0149.png,0.00027717367629520595
0187.png,0.009123887866735458
0167.png,0.0001395783037878573
0125.png,0.00015809547039680183
0178.png,0.00968937762081623
0195.png,0.00016682161367498338
